ID,Nombre,Edad,Email,Telefono,Ciudad,Ingresos,Estado
266,Nombre_16,95,correo_malo,300266,Bogotá,4141477,Inactivo
46,Nombre_46,-5,user6@mail.com,30046,,17687327,???
61,Nombre_11,72,user21@mail.com,30061,Medellín,9512115,Inactivo
79,Nombre_29,85,user39@mail.com,30079,,7696057,???
207,Nombre_7,58,user7@mail.com,300207,Medellín,14594995,Inactivo
196,Nombre_46,108,correo_malo,300196,Cali,7749823,???
71,Nombre_21,81,user31@mail.com,30071,,689560,Inactivo
138,Nombre_38,0,user18@mail.com,300138,Medellín,5661445,Activo
114,Nombre_14,41,user34@mail.com,300114,,15728079,Inactivo
126,Nombre_26,61,correo_malo,300126,,18653679,Activo
233,Nombre_33,70,user33@mail.com,300233,Bogotá,8944918,???
276,Nombre_26,86,user36@mail.com,300276,,19251303,???
37,Nombre_37,21,user37@mail.com,30037,Medellín,11523392,???
268,Nombre_18,37,user28@mail.com,300268,Bogotá,3100319,Activo
240,Nombre_40,2,user0@mail.com,XXX,,4878758,???
77,Nombre_27,124,correo_malo,30077,Bogotá,6401258,???
249,Nombre_49,105,user9@mail.com,300249,Medellín,11676546,Activo
277,Nombre_27,60,user37@mail.com,300277,Bogotá,13716762,???
259,Nombre_9,35,correo_malo,300259,Medellín,4810528,Activo
212,Nombre_12,-2,user12@mail.com,300212,Cali,15621663,???
51,Nombre_1,62,user11@mail.com,30051,Bogotá,2541565,???
296,Nombre_46,115,user16@mail.com,300296,,-621201,???
116,Nombre_16,13,user36@mail.com,300116,,7978885,Inactivo
269,Nombre_19,64,user29@mail.com,300269,Cali,8370631,Inactivo
264,Nombre_14,72,user24@mail.com,300264,,18488030,Activo
213,Nombre_13,86,user13@mail.com,300213,,893687,Inactivo
3,Nombre_3,86,user3@mail.com,3003,Bogotá,11644070,???
162,Nombre_12,37,user2@mail.com,300162,,12515832,Activo
18,Nombre_18,54,user18@mail.com,30018,Cali,6422279,Activo
240,Nombre_40,36,user0@mail.com,XXX,,19815289,Activo
13,Nombre_13,123,user13@mail.com,30013,Medellín,6378646,Activo
14,Nombre_14,80,correo_malo,30014,Cali,15760454,Activo
294,Nombre_44,26,correo_malo,300294,,19536480,Activo
177,Nombre_27,47,user17@mail.com,300177,,18455239,???
93,Nombre_43,-13,user13@mail.com,30093,Bogotá,18267281,???
28,Nombre_28,-15,correo_malo,30028,,14167502,Activo
113,Nombre_13,98,user33@mail.com,300113,Medellín,15198346,Inactivo
256,Nombre_6,34,user16@mail.com,300256,Cali,1548906,Activo
250,Nombre_0,29,user10@mail.com,XXX,,14656607,Activo
78,Nombre_28,-4,user38@mail.com,30078,Cali,16857936,Activo
297,Nombre_47,78,user17@mail.com,300297,,8934239,Inactivo
120,Nombre_20,65,user0@mail.com,XXX,Medellín,5168377,???
248,Nombre_48,106,user8@mail.com,300248,,7136500,Activo
