ID;Nombre;Apellido;Edad;Email;Teléfono;Ciudad;Dirección;Fecha_Nacimiento;Género;Estado_Civil;Ingresos;Score_Crédito
1;;Apellido_0;;email_mal_formado;;Cali;###;1924-02-10 00:00:00;M;;21751305;
1;;Apellido_0;81;email_mal_formado;;Cali;Calle 1 # 1-1;1976-09-08 00:00:00;F;???;21751305;
3;Nombre_2;Apellido_2;139;user2@mail.com;3157640876;Cartagena;Calle 2 # 2-2;1935-12-29 00:00:00;;;10867151;1000
4;Nombre_3;Apellido_3;-4;user3@mail.com;3118950513;Cali;Calle 3 # 3-3;1999-07-08 00:00:00;M;Soltero;422469;850
5;Nombre_4;Apellido_4;97;user4@mail.com;3189707438;;Calle 4 # 4-4;1991-09-04 00:00:00;F;???;7615989;
6;Nombre_5;Apellido_5;-12;user5@mail.com;3149951083;;Calle 5 # 5-5;2031-12-28 00:00:00;;???;10777126;1000
7;Nombre_6;Apellido_6;116;user6@mail.com;3121698899;Cali;Calle 6 # 6-6;2023-08-26 00:00:00;;Casado;15657486;850
8;Nombre_7;Apellido_7;49;user7@mail.com;3176555445;Cartagena;Calle 7 # 7-7;2002-10-19 00:00:00;X;Soltero;3655768;0
9;Nombre_8;Apellido_8;46;user8@mail.com;3168330066;;Calle 8 # 8-8;2031-08-30 00:00:00;X;;17385437;200
10;Nombre_9;Apellido_9;-9;email_mal_formado;3141684518;Bogotá;Calle 9 # 9-9;1975-11-28 00:00:00;F;;20478652;-50
11;Nombre_10;Apellido_10;-9;user10@mail.com;3117088619;;Calle 10 # 10-10;1957-02-27 00:00:00;X;???;8910795;0
11;Nombre_10;Apellido_10;129;user10@mail.com;3117088619;;Calle 11 # 11-11;2032-02-07 00:00:00;F;Soltero;8910795;850
13;;Apellido_12;30;user12@mail.com;3116684670;Medellín;Calle 12 # 12-12;2028-09-20 00:00:00;X;Soltero;15802568;200
14;Nombre_13;Apellido_13;42;user13@mail.com;3141605811;;###;2030-04-02 00:00:00;F;;-1212307;0
15;Nombre_14;Apellido_14;51;user14@mail.com;3139050432;;Calle 14 # 14-14;1969-02-01 00:00:00;F;Casado;11771190;0
16;Nombre_15;Apellido_15;82;user15@mail.com;3167459955;Medellín;Calle 15 # 15-15;2020-10-09 00:00:00;X;???;20445795;
17;Nombre_16;Apellido_16;125;user16@mail.com;3134239425;;Calle 16 # 16-16;1998-05-22 00:00:00;X;;28460540;850
18;Nombre_17;Apellido_17;;user17@mail.com;3178694315;Medellín;Calle 17 # 17-17;1943-06-07 00:00:00;X;Casado;23870050;850
19;Nombre_18;Apellido_18;82;email_mal_formado;3158749146;;Calle 18 # 18-18;1977-11-23 00:00:00;F;Soltero;20955831;-50
20;Nombre_19;Apellido_19;23;user19@mail.com;3118705216;Cartagena;Calle 19 # 19-19;2016-01-04 00:00:00;;;27372926;
21;Nombre_20;Apellido_20;12;user20@mail.com;3141181029;;Calle 20 # 20-20;1943-09-03 00:00:00;F;Soltero;26973163;850
21;Nombre_20;Apellido_20;85;user20@mail.com;3141181029;;Calle 21 # 21-21;1990-01-05 00:00:00;;;26973163;200
23;Nombre_22;Apellido_22;112;user22@mail.com;;Cartagena;Calle 22 # 22-22;1966-12-10 00:00:00;F;Casado;27421708;200
24;Nombre_23;Apellido_23;-7;user23@mail.com;3168254188;Medellín;Calle 23 # 23-23;1975-01-01 00:00:00;F;???;19821606;1000
25;;Apellido_24;23;user24@mail.com;3157214359;Medellín;Calle 24 # 24-24;1933-08-19 00:00:00;M;Casado;4304038;0
26;Nombre_25;Apellido_25;64;user25@mail.com;3124728183;;Calle 25 # 25-25;2012-07-23 00:00:00;F;Soltero;3980321;
27;Nombre_26;Apellido_26;52;user26@mail.com;3192091561;;###;1970-03-25 00:00:00;F;Casado;9044965;0
28;Nombre_27;Apellido_27;7;email_mal_formado;3143687193;Bogotá;Calle 27 # 27-27;1958-10-19 00:00:00;;???;29255190;850
29;Nombre_28;Apellido_28;3;user28@mail.com;3143396467;;Calle 28 # 28-28;1944-09-27 00:00:00;M;Soltero;24010631;0
30;Nombre_29;Apellido_29;64;user29@mail.com;3124318068;Medellín;Calle 29 # 29-29;1975-09-07 00:00:00;F;Soltero;11240640;1000
31;Nombre_30;Apellido_30;113;user30@mail.com;3118510808;Bogotá;Calle 30 # 30-30;1999-10-10 00:00:00;;Casado;17184114;
31;Nombre_30;Apellido_30;23;user30@mail.com;3118510808;Bogotá;Calle 31 # 31-31;1995-09-08 00:00:00;F;;17184114;850
33;Nombre_32;Apellido_32;61;user32@mail.com;3149272949;Medellín;Calle 32 # 32-32;2000-06-25 00:00:00;F;;24063708;200
34;Nombre_33;Apellido_33;37;user33@mail.com;;;Calle 33 # 33-33;1960-04-09 00:00:00;;???;19140108;0
35;Nombre_34;Apellido_34;;user34@mail.com;3185313995;;Calle 34 # 34-34;2023-09-29 00:00:00;M;Casado;1537957;200
36;Nombre_35;Apellido_35;-19;user35@mail.com;3150122482;Cali;Calle 35 # 35-35;1938-11-11 00:00:00;M;Casado;23293331;0
37;;Apellido_36;-17;email_mal_formado;3127602047;Bogotá;Calle 36 # 36-36;2027-09-05 00:00:00;F;???;24791000;
38;Nombre_37;Apellido_37;95;user37@mail.com;3178159735;Cali;Calle 37 # 37-37;1943-10-04 00:00:00;;Soltero;-1523401;0
39;Nombre_38;Apellido_38;88;user38@mail.com;3185625931;Medellín;Calle 38 # 38-38;1943-01-21 00:00:00;M;???;3958751;
40;Nombre_39;Apellido_39;-11;user39@mail.com;3128082046;Cartagena;###;2009-08-19 00:00:00;;;5472467;
41;Nombre_40;Apellido_40;87;user40@mail.com;3142924393;Cartagena;Calle 40 # 40-40;2013-06-10 00:00:00;F;Soltero;20564644;200
41;Nombre_40;Apellido_40;58;user40@mail.com;3142924393;Cartagena;Calle 41 # 41-41;1982-05-25 00:00:00;M;???;20564644;
43;Nombre_42;Apellido_42;-4;user42@mail.com;3197856898;Medellín;Calle 42 # 42-42;2017-11-16 00:00:00;M;Casado;3374422;
44;Nombre_43;Apellido_43;107;user43@mail.com;3141376377;;Calle 43 # 43-43;1995-03-09 00:00:00;;Casado;7381450;
45;Nombre_44;Apellido_44;38;user44@mail.com;;;Calle 44 # 44-44;2020-09-08 00:00:00;X;;20059030;200
46;Nombre_45;Apellido_45;11;email_mal_formado;3174213331;;Calle 45 # 45-45;1952-07-27 00:00:00;F;???;-1547062;1000
47;Nombre_46;Apellido_46;26;user46@mail.com;3177120143;;Calle 46 # 46-46;1948-09-21 00:00:00;F;Casado;8910992;200
48;Nombre_47;Apellido_47;32;user47@mail.com;3123014059;Cartagena;Calle 47 # 47-47;1944-01-18 00:00:00;M;???;4334678;0
49;;Apellido_48;-6;user48@mail.com;3116937205;Cali;Calle 48 # 48-48;1965-10-31 00:00:00;M;;23435776;850
50;Nombre_49;Apellido_49;28;user49@mail.com;3162268237;;Calle 49 # 49-49;1939-03-10 00:00:00;X;???;25778947;850
