ID,Nombre,Edad,Email,Telefono,Ciudad,Ingresos,Estado
2,,94,email_erroneo,XXX,,-496311,
7,Nombre_1,76,user1@correo.com,3007994026,Medellín,10178533,
27,Nombre_2,58,user2@correo.com,3008885034,,6771060,
57,Nombre_3,74,user3@correo.com,3009358175,Cali,12933026,???
78,Nombre_4,79,user4@correo.com,3007533552,Cali,4139171,Activo
78,Nombre_5,21,user5@correo.com,XXX,Cali,8514140,Inactivo
30,Nombre_6,79,email_erroneo,3008718232,,13204088,Inactivo
29,Nombre_7,35,user7@correo.com,3003712253,,5208445,
52,,41,user8@correo.com,3006999460,,13637111,
70,Nombre_9,37,user9@correo.com,3005589183,Cali,-440702,
77,Nombre_10,69,user10@correo.com,XXX,,10692510,Inactivo
29,Nombre_11,-10,user11@correo.com,3009903384,Medellín,14423203,???
3,Nombre_12,93,email_erroneo,3008992589,,12981885,Activo
55,Nombre_13,5,user13@correo.com,3003032402,Cali,664539,Inactivo
78,Nombre_14,110,user14@correo.com,3003446376,Bogotá,6380478,
28,Nombre_15,29,user15@correo.com,XXX,Bogotá,9450350,Inactivo
8,,129,user16@correo.com,3005890436,Medellín,12101846,???
8,Nombre_17,4,user17@correo.com,3002177502,Medellín,8576648,
21,Nombre_18,110,email_erroneo,3003802019,Bogotá,3433018,
34,Nombre_19,75,user19@correo.com,3002362557,,13216912,Inactivo
49,Nombre_20,-1,user20@correo.com,XXX,Bogotá,8607067,Inactivo
39,Nombre_21,100,user21@correo.com,3001070301,Bogotá,12804418,Inactivo
26,Nombre_22,94,user22@correo.com,3005870118,,2621942,
69,Nombre_23,24,user23@correo.com,3004769944,,3822591,
61,,44,email_erroneo,3005712803,Medellín,5484830,Inactivo
18,Nombre_25,15,user25@correo.com,XXX,Medellín,7627692,
74,Nombre_26,42,user26@correo.com,3007865965,,12534117,Activo
48,Nombre_27,83,user27@correo.com,3008565324,,15072,Activo
30,Nombre_28,-2,user28@correo.com,3009771595,,8644309,Inactivo
21,Nombre_29,109,user29@correo.com,3008336929,Cali,14220376,Inactivo
71,Nombre_30,69,email_erroneo,XXX,Bogotá,7837097,Activo
55,Nombre_31,9,user31@correo.com,3004172911,,7876714,???
41,,26,user32@correo.com,3004109080,,2836638,Inactivo
65,Nombre_33,67,user33@correo.com,3002278334,,8679639,Activo
4,Nombre_34,35,user34@correo.com,3009272579,Cali,794468,Activo
37,Nombre_35,99,user35@correo.com,XXX,,11471226,Inactivo
38,Nombre_36,68,email_erroneo,3003176774,Bogotá,3077252,???
10,Nombre_37,16,user37@correo.com,3001252360,,7654451,Activo
25,Nombre_38,41,user38@correo.com,3001231872,Medellín,13257144,???
50,Nombre_39,-1,user39@correo.com,3001801830,Cali,10770995,???
36,,104,user40@correo.com,XXX,Medellín,765326,???
32,Nombre_41,12,user41@correo.com,3004827426,,14825776,
56,Nombre_42,83,email_erroneo,3006177040,,10577201,Inactivo
4,Nombre_43,101,user43@correo.com,3006400369,,5078561,Inactivo
74,Nombre_44,81,user44@correo.com,3005732348,Cali,11487385,Activo
39,Nombre_45,-1,user45@correo.com,XXX,Medellín,8334083,Activo
33,Nombre_46,119,user46@correo.com,3007390924,Cali,6396883,
59,Nombre_47,45,user47@correo.com,3004015491,Bogotá,381702,
23,,55,email_erroneo,3007716074,Medellín,10668154,
76,Nombre_49,60,user49@correo.com,3002310205,Cali,6012166,
12,Nombre_50,-6,user50@correo.com,XXX,Cali,1265900,Inactivo
30,Nombre_51,75,user51@correo.com,3003105860,Bogotá,-570094,Activo
13,Nombre_52,103,user52@correo.com,3009299258,Medellín,10259547,Inactivo
15,Nombre_53,43,user53@correo.com,3009869095,Medellín,12221740,Inactivo
8,Nombre_54,128,email_erroneo,3005607669,,8552427,
33,Nombre_55,33,user55@correo.com,XXX,Bogotá,13093395,Activo
8,,112,user56@correo.com,3004090307,,10426973,Activo
67,Nombre_57,84,user57@correo.com,3004977492,,2453365,Inactivo
21,Nombre_58,36,user58@correo.com,3005192263,Cali,3428814,Inactivo
62,Nombre_59,22,user59@correo.com,3004139060,Bogotá,11372044,Inactivo
37,Nombre_60,59,email_erroneo,XXX,,-145358,Inactivo
33,Nombre_61,127,user61@correo.com,3009238683,Medellín,4643152,
34,Nombre_62,104,user62@correo.com,3001560357,Medellín,14532238,
67,Nombre_63,105,user63@correo.com,3002759771,,11872882,???
65,,100,user64@correo.com,3002094417,Medellín,11670022,
15,Nombre_65,52,user65@correo.com,XXX,Medellín,14399005,???
44,Nombre_66,22,email_erroneo,3007178177,Medellín,-126154,???
34,Nombre_67,9,user67@correo.com,3006183551,,922108,Inactivo
79,Nombre_68,42,user68@correo.com,3001944767,Bogotá,1297175,
33,Nombre_69,78,user69@correo.com,3001550281,,7781517,
52,Nombre_70,-6,user70@correo.com,XXX,Bogotá,1984519,???
61,Nombre_71,49,user71@correo.com,3006534615,Bogotá,14263007,Inactivo
68,,3,email_erroneo,3004036297,Medellín,652512,Activo
20,Nombre_73,36,user73@correo.com,3003075319,,14983090,Activo
3,Nombre_74,110,user74@correo.com,3003307006,Bogotá,5459616,
70,Nombre_75,12,user75@correo.com,XXX,Bogotá,1350810,???
56,Nombre_76,36,user76@correo.com,3008274843,Medellín,14739659,
38,Nombre_77,33,user77@correo.com,3008646317,,10830039,Activo
